"Kanji";"Hiragana";"English"
"あっ";"あっ";
"ああ";"ああ";"Ah!, Oh!, Alas!, Yes, Indeed, That is correct, Hey!, Yo!, Uh huh, Yeah yeah, Right, Gotcha"
"愛";"あい";"love, affection"
"あいかわらず";"あいかわらず";"as ever, as usual, the same"
"愛情";"あいじょう";"love, affection"
"アイスクリーム";"アイスクリーム";"ice cream, icecream"
"間";"あいだ";"space (between), gap, interval, distance, time (between), pause, break, span (temporal or spatial), stretch, period (while), relationship (between, among), members (within, among); (conjunction) due to, because of"
"相手";"あいて";"companion, partner, company, other party, addressee, opponent (sports, etc.)"
"アイデア/アイディア";"アイデア/アイディア";
"あいにく";"あいにく";"unfortunately, Sorry, but ..."
"アイロン";"アイロン";"iron"
"合う";"あう";"to come together, to merge, to unite, to meet, to fit, to match, to suit, to agree with, to be correct, to be profitable, to be equitable; (Godan) (after the -masu stem of a verb) to do ... to each other, to do ... together"
"アウト";"アウト";"out"
"青";"あお";"blue, green, green light, black (horse coat color); (prefix) immature, unripe, young"
"あおぐ";"あおぐ";"to fan, to incite, to instigate"
"赤";"あか";"red, crimson, scarlet, red-containing colour (e.g. brown, pink, orange), Red (i.e. communist), red light; (noun) red ink (i.e. in finance or proof-reading), (in) the red; (noun,) complete, total, perfect, obvious"
"あかちゃん";"あかちゃん";"baby, infant"
"明い";"あかるい";"bright, colourful, cheerful, familiar (with), knowledgeable (about), fair (e.g. politics), clean"
"あき";"あき";"space, room, emptiness, gap, opening, vacancy, empty seat, free time, time to spare, disuse, unused thing"
"秋";"あき";"autumn, fall"
"明らか";"あきらか";"obvious, evident, clear, plain"
"あきらめる";"あきらめる";"to give up, to abandon"
"あきれる";"あきれる";"to be amazed, to be shocked"
"開く";"あく";"to open (e.g. a bank-account, festival, etc.); (intransitive) to spread out, to open up (flower bud, umbrella, etc.), to widen (gap, distance, width), to hold, to give (party, conference, etc.)"
"空く";"あく";"to become less crowded, to thin out, to get empty, to be hungry"
"あくしゅ";"あくしゅ";"handshake"
"アクセサリー";"アクセサリー";"accessory"
"アクセント";"アクセント";"accent"
"あくび";"あくび";"yawn, yawning (and stretching)"
"あくまで";"あくまで";"to the end, to the bitter end, to the last, stubbornly, persistently, to the utmost"
"明くる~";"あくる~";
"開ける";"あける";"to open (a door, etc.), to unwrap (e.g. parcel, package), to open (for business, etc.), to empty, to clear out, to make space, to make room; (intransitive) to dawn, to grow light, to end"
"明ける";"あける";"to open (a door, etc.), to unwrap (e.g. parcel, package), to open (for business, etc.), to empty, to clear out, to make space, to make room; (intransitive) to dawn, to grow light, to end"
"あげる (=やる)";"あげる (=やる)";
"あこがれる";"あこがれる";"to long for, to yearn after, to admire, to be attracted by"
"朝";"あさ";"morning"
"あさって";"あさって";"day after tomorrow"
"あし";"あし";"foot, leg, gait, pace, bottom structural component (i.e. radical) of a kanji, means of transportation"
"味";"あじ";"flavor, flavour, taste, charm, style, experience; (adjectival) smart, clever, witty, strange"
"あした";"あした";"morning"
"足元";"あしもと";"at one's feet, underfoot, gait, pace, step; (pronoun) you, thou"
"明日";"あす";"tomorrow"
"あずかる";"あずかる";"to look after, to take care of, to keep, to hold on to, to keep in custody, to take charge of, to be entrusted with, to receive on deposit, to reserve (judgment), to leave undecided"
"あせ";"あせ";"sweat, perspiration, moisture, condensation"
"あそこ";"あそこ";"there (place physically distant from both speaker and listener), over there, that place, yonder; (noun) genitals, that far (something psychologically distant from both speaker and listener), that much, that point"
"遊び";"あそび";"playing, play (margin between on and off, gap before pressing button or lever has an effect)"
"あたためる";"あたためる";"to warm, to heat"
"頭";"あたま";"counter for large animals (e.g. head of cattle)"
"新しい";"あたらしい";"new"
"あたり";"あたり";"on the bank of, by the side of (e.g. a river, pond), (in the) neighbourhood, neighborhood, vicinity, nearby"
"あたりまえ";"あたりまえ";"natural, reasonable, obvious, usual, common, ordinary"
"あちこち";"あちこち";"here and there; (noun) to get things in the wrong order (back to front), to become muddled up"
"あひら";"あひら";
"あっち";"あっち";"that way (direction distant from both speaker and listener), over there, yonder, that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; (pronoun) that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener), there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)"
"あちらこちら";"あちらこちら";"here and there; (noun) to get things in the wrong order (back to front), to become muddled up"
"厚かましい";"あつかましい";"impudent, shameless, brazen"
"集まり";"あつまり";"gathering, meeting, assembly, collection"
"集める";"あつめる";"to collect, to assemble, to gather"
"あてな";"あてな";"name, (recipient's) name and address"
"あてはまる";"あてはまる";"to apply (a rule), to be applicable, to come under (a category), to fulfill"
"あてはめる";"あてはめる";"to apply, to adapt"
"あてる";"あてる";"to hit, to expose, to apply (e.g. patch), to allot, to call on someone (e.g. in class), to guess (an answer), to make a hit (e.g. in a lottery)"
"後";"あと";"behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, past, previous; (adverbial) more (i.e. five more minutes)"
"あと";"あと";"trace, tracks, mark, sign, remains, ruins, scar"
"あと";"あと";"behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, past, previous; (adverbial) more (i.e. five more minutes)"
"あな";"あな";"hole, deficit, shortage, missing person (in a team, meeting, etc.), vacancy, opening, flaw, profitable place (or item, etc.) not well known by others, upset victory (with a large payoff), pit (of a theater), hiding place, underbelly (of society, etc.)"
"アナウンサー";"アナウンサー";"announcer"
"あなた";"あなた";"you (referring to someone of equal or lower status), dear (what a wife calls a husband)"
"兄";"あに";"older brother"
"姉";"あね";"older sister, elder sister"
"あの";"あの";"that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)"
"アパート";"アパート";"apartment building, apartment block, apartment house, apartment"
"浴びる";"あびる";"to bathe, to bask in the sun, to shower"
"油";"あぶら";"oil"
"アフリカ";"アフリカ";"Africa"
"あぶる";"あぶる";"to warm (i.e. one's hands over a fire), to dry, to scorch, to broil, to toast, to grill"
"あふれる";"あふれる";"to overflow, to brim over, to flood"
"あむ";"あむ";"to knit, to plait, to braid, to compile (anthology, dictionary, etc.), to edit"
"雨";"あめ";"rain"
"アメリカ";"アメリカ";"America"
"あやまり";"あやまり";"error, mistake, slip, bug"
"あら";"あら";"almost, roughly, approximately"
"新た";"あらた";"new, fresh, novel; (adverb) newly, freshly, re-"
"あらゆる";"あらゆる";"all, every"
